title,most_rented_film,first_name,last_name,number_of_films
BUCKET BROTHERHOOD,34,GINA,DEGENERES,42.0
ROCKETEER MOTHER,33,WALTER,TORN,41.0
FORWARD TEMPLE,32,MARY,KEITEL,40.0
GRIT CLOCKWORK,32,MATTHEW,CARREY,39.0
JUGGLER HARDLY,32,SANDRA,KILMER,37.0
RIDGEMONT SUBMARINE,32,SCARLETT,DAMON,36.0
SCALAWAG DUCK,32,UMA,WOOD,35.0
APACHE DIVINE,31,VAL,BOLGER,35.0
GOODFELLAS SALUTE,31,HENRY,BERRY,35.0
HOBBIT ALIEN,31,GROUCHO,DUNST,35.0
NETWORK PEAK,31,ANGELA,WITHERSPOON,35.0
ROBBERS JOON,31,VIVIEN,BASINGER,35.0
RUSH GOODFELLAS,31,ANGELA,HUDSON,34.0
TIMBERLAND SKY,31,KIRSTEN,AKROYD,34.0
WIFE TURN,31,SIDNEY,CROWE,34.0
ZORRO ARK,31,WARREN,NOLTE,34.0
BUTTERFLY CHOCOLAT,30,JAYNE,NOLTE,34.0
CAT CONEHEADS,30,RIP,CRAWFORD,33.0
DOGMA FAMILY,30,JULIA,MCQUEEN,33.0
ENGLISH BULWORTH,30,BEN,WILLIS,33.0
FROST HEAD,30,SEAN,GUINESS,33.0
GRAFFITI LOVE,30,KENNETH,TORN,33.0
HARRY IDAHO,30,SUSAN,DAVIS,33.0
IDOLS SNATCHERS,30,CAMERON,ZELLWEGER,33.0
MARRIED GO,30,RENEE,TRACY,33.0
MASSACRE USUAL,30,KEVIN,GARLAND,33.0
MUSCLE BRIGHT,30,EWAN,GOODING,33.0
PULP BEVERLY,30,ALBERT,JOHANSSON,33.0
RUGRATS SHAKESPEARE,30,RENEE,BALL,33.0
SHOCK CABIN,30,REESE,WEST,33.0
SUSPECTS QUILLS,30,HELEN,VOIGHT,32.0
WITCHES PANIC,30,REESE,KILMER,32.0
BINGO TALENTED,29,NATALIE,HOPKINS,32.0
BOOGIE AMELIE,29,CHRISTIAN,AKROYD,32.0
CONFIDENTIAL INTERVIEW,29,WARREN,JACKMAN,32.0
DEER VIRGINIAN,29,JULIANNE,DENCH,32.0
ENEMY ODDS,29,ED,MANSFIELD,32.0
FAMILY SWEET,29,WHOOPI,HURT,32.0
GLEAMING JAWBREAKER,29,GRETA,MALDEN,32.0
GREATEST NORTH,29,HARVEY,HOPE,32.0
MOON BUNCH,29,KARL,BERRY,31.0
STORM HAPPINESS,29,WOODY,HOFFMAN,31.0
SWEETHEARTS SUSPECTS,29,MARY,TANDY,31.0
TALENTED HOMICIDE,29,ANGELINA,ASTAIRE,31.0
TITANS JERK,29,WOODY,JOLIE,31.0
VIDEOTAPE ARSENIC,29,JAMES,PITT,31.0
VIRGINIAN PLUTO,29,MINNIE,ZELLWEGER,31.0
CLOSER BANG,28,DARYL,WAHLBERG,31.0
EXPENDABLE STALLION,28,PENELOPE,CRONYN,31.0
FATAL HAUNTED,28,ALBERT,NOLTE,31.0
GIANT TROOPERS,28,JADA,RYDER,31.0
GILMORE BOILED,28,RIVER,DEAN,31.0
HANDICAP BOONDOCK,28,FAY,WINSLET,31.0
ROSES TREASURE,28,RUSSELL,TEMPLE,31.0
SATURDAY LAMBS,28,IAN,TANDY,31.0
STORY SIDE,28,WILL,WILSON,31.0
TRIP NEWTON,28,GRACE,MOSTEL,30.0
VOYAGE LEGALLY,28,VIVIEN,BERGEN,30.0
BLACKOUT PRIVATE,27,LUCILLE,TRACY,30.0
CAMELOT VACATION,27,NICK,STALLONE,30.0
CHANCE RESURRECTION,27,MENA,TEMPLE,30.0
CURTAIN VIDEOTAPE,27,JUDE,CRUISE,30.0
DANCING FEVER,27,RAY,JOHANSSON,30.0
DETECTIVE VISION,27,RIP,WINSLET,30.0
DORADO NOTTING,27,MATTHEW,LEIGH,30.0
FORRESTER COMANCHEROS,27,CATE,MCQUEEN,30.0
GANGS PRIDE,27,DARYL,CRAWFORD,30.0
GOLDMINE TYCOON,27,RICHARD,PENN,30.0
HORROR REIGN,27,MICHAEL,BOLGER,30.0
INVASION CYCLONE,27,ROCK,DUKAKIS,30.0
LIES TREATMENT,27,GREGORY,GOODING,30.0
LOATHING LEGALLY,27,BELA,WALKEN,30.0
LOSE INCH,27,JOHNNY,LOLLOBRIGIDA,29.0
MOVIE SHAKESPEARE,27,ALEC,WAYNE,29.0
NONE SPIKING,27,BURT,DUKAKIS,29.0
OPERATION OPERATION,27,JOHNNY,CAGE,29.0
PRIMARY GLASS,27,JODIE,DEGENERES,29.0
PRINCESS GIANT,27,JAYNE,NEESON,29.0
RANGE MOONWALKER,27,KENNETH,HOFFMAN,29.0
SPY MILE,27,JON,CHASE,29.0
SWARM GOLD,27,ED,GUINESS,29.0
TELEGRAPH VOYAGE,27,HUMPHREY,GARLAND,29.0
TORQUE BOUND,27,JOHN,SUVARI,29.0
WARDROBE PHANTOM,27,CUBA,OLIVIER,28.0
ALASKA PHANTOM,26,GOLDIE,BRODY,28.0
BROTHERHOOD BLANKET,26,DAN,HARRIS,28.0
COMA HEAD,26,MILLA,KEITEL,28.0
CONTACT ANONYMOUS,26,MAE,HOFFMAN,28.0
DISTURBING SCARFACE,26,RALPH,CRUZ,28.0
DURHAM PANKY,26,HARRISON,BALE,28.0
FANTASY TROOPERS,26,CATE,HARRIS,28.0
FELLOWSHIP AUTUMN,26,KIM,ALLEN,28.0
HALF OUTFIELD,26,MERYL,GIBSON,28.0
HANKY OCTOBER,26,OLYMPIA,PFEIFFER,28.0
HYDE DOCTOR,26,FRED,COSTNER,27.0
INNOCENT USUAL,26,KIRSTEN,PALTROW,27.0
ISLAND EXORCIST,26,TOM,MIRANDA,27.0
MALKOVICH PET,26,ANNE,CRONYN,27.0
METROPOLIS COMA,26,DUSTIN,TAUTOU,27.0
PELICAN COMFORTS,26,GREG,CHAPLIN,27.0
PITY BOUND,26,MEG,HAWKE,27.0
POCUS PULP,26,CHRIS,BRIDGES,27.0
SEABISCUIT PUNK,26,MORGAN,HOPKINS,27.0
STAGECOACH ARMAGEDDON,26,PENELOPE,MONROE,27.0
TIGHTS DAWN,26,GRETA,KEITEL,27.0
TRACY CIDER,26,MORGAN,WILLIAMS,27.0
VELVET TERMINATOR,26,ALAN,DREYFUSS,27.0
WESTWARD SEABISCUIT,26,WILLIAM,HACKMAN,27.0
BARBARELLA STREETCAR,25,GENE,MCKELLEN,27.0
CLASH FREDDY,25,AUDREY,BAILEY,27.0
CLUELESS BUCKET,25,JAYNE,SILVERSTONE,27.0
CONEHEADS SMOOCHY,25,ELVIS,MARX,26.0
DOUBLE WRATH,25,KIRK,JOVOVICH,26.0
DOWNHILL ENOUGH,25,FRANCES,DAY-LEWIS,26.0
DYNAMITE TARZAN,25,CARMEN,HUNT,26.0
EFFECT GLADIATOR,25,SEAN,WILLIAMS,26.0
ESCAPE METROPOLIS,25,GARY,PENN,26.0
FEUD FROGMEN,25,GROUCHO,SINATRA,26.0
FISH OPUS,25,JIM,MOSTEL,26.0
GUN BONNIE,25,SCARLETT,BENING,26.0
HILLS NEIGHBORS,25,GEOFFREY,HESTON,26.0
MADNESS ATTACKS,25,LAURA,BRODY,26.0
MALLRATS UNITED,25,HUMPHREY,WILLIS,26.0
METAL ARMAGEDDON,25,AL,GARLAND,26.0
NIGHTMARE CHILL,25,LAURENCE,BULLOCK,26.0
OSCAR GOLD,25,NICK,WAHLBERG,25.0
SAMURAI LION,25,JOE,SWANK,25.0
SHEPHERD MIDSUMMER,25,ZERO,CAGE,25.0
SHOW LORD,25,BOB,FAWCETT,25.0
STREETCAR INTENTIONS,25,AUDREY,OLIVIER,25.0
SUN CONFESSIONS,25,TOM,MCKELLEN,25.0
TELEMARK HEARTBREAKERS,25,GARY,PHOENIX,25.0
TOMORROW HUSTLER,25,PENELOPE,PINKETT,25.0
TRADING PINOCCHIO,25,CHRISTIAN,NEESON,25.0
WORKING MICROCOSMOS,25,ELLEN,PRESLEY,25.0
ALAMO VIDEOTAPE,24,RUSSELL,BACALL,25.0
ARACHNOPHOBIA ROLLERCOASTER,24,MORGAN,MCDORMAND,25.0
ATLANTIS CAUSE,24,CUBA,ALLEN,25.0
ATTRACTION NEWTON,24,LIZA,BERGMAN,25.0
BOUND CHEAPER,24,SALMA,NOLTE,25.0
CAPER MOTIONS,24,JANE,JACKMAN,25.0
CELEBRITY HORN,24,OPRAH,KILMER,25.0
CENTER DINOSAUR,24,GROUCHO,WILLIAMS,25.0
COLOR PHILADELPHIA,24,JEFF,SILVERSTONE,25.0
DRIFTER COMMANDMENTS,24,CAMERON,STREEP,24.0
FARGO GANDHI,24,MILLA,PECK,24.0
GOLDFINGER SENSIBILITY,24,PARKER,GOLDBERG,24.0
GUNFIGHT MOON,24,JULIA,BARRYMORE,24.0
HORN WORKING,24,BURT,POSEY,24.0
HURRICANE AFFAIR,24,CARY,MCCONAUGHEY,24.0
ICE CROSSING,24,CHARLIZE,DENCH,24.0
JASON TRAP,24,SPENCER,DEPP,24.0
JUMPING WRATH,24,DAN,STREEP,24.0
KNOCK WARLOCK,24,LUCILLE,DEE,24.0
LOLA AGENT,24,MENA,HOPPER,24.0
MAIDEN HOME,24,MICHAEL,BENING,24.0
MOCKINGBIRD HOLLYWOOD,24,DEBBIE,AKROYD,24.0
ORANGE GRAPES,24,CUBA,BIRCH,24.0
OZ LIAISONS,24,TIM,HACKMAN,23.0
PACIFIC AMISTAD,24,JESSICA,BAILEY,23.0
ROMAN PUNK,24,MICHELLE,MCCONAUGHEY,23.0
SEATTLE EXPECATIONS,24,GENE,WILLIS,23.0
SHOOTIST SUPERFLY,24,FRANCES,TOMEI,23.0
SLEEPING SUSPECTS,24,BEN,HARRIS,23.0
SLUMS DUCK,24,LISA,MONROE,23.0
STRANGELOVE DESIRE,24,BURT,TEMPLE,23.0
SUNRISE LEAGUE,24,ED,CHASE,22.0
WEDDING APOLLO,24,JENNIFER,DAVIS,22.0
ACADEMY DINOSAUR,23,CHRISTIAN,GABLE,22.0
AFFAIR PREJUDICE,23,DAN,TORN,22.0
ALADDIN CALENDAR,23,SYLVESTER,DERN,22.0
BALLOON HOMEWARD,23,ADAM,HOPPER,22.0
CANDLES GRAPES,23,GENE,HOPKINS,22.0
CARRIE BUNCH,23,FAY,WOOD,22.0
CROOKED FROGMEN,23,NICK,DEGENERES,22.0
CUPBOARD SINNERS,23,MERYL,ALLEN,22.0
EARTH VISION,23,KEVIN,BLOOM,21.0
EASY GLADIATOR,23,KENNETH,PALTROW,21.0
FLAMINGOS CONNECTICUT,23,SPENCER,PECK,21.0
FOOL MOCKINGBIRD,23,SUSAN,DAVIS,21.0
FREDDY STORM,23,CHRISTOPHER,WEST,21.0
GENTLEMEN STAGE,23,BETTE,NICHOLSON,20.0
HEAVYWEIGHTS BEAST,23,MATTHEW,JOHANSSON,20.0
HOUSE DYNAMITE,23,FAY,KILMER,20.0
KARATE MOON,23,KENNETH,PESCI,20.0
KWAI HOMEWARD,23,CHRISTOPHER,BERRY,20.0
MURDER ANTITRUST,23,RITA,REYNOLDS,20.0
NAME DETECTIVE,23,MINNIE,KILMER,20.0
OTHERS SOUP,23,CHRIS,DEPP,20.0
OUTBREAK DIVINE,23,THORA,TEMPLE,20.0
PATTON INTERVIEW,23,PENELOPE,GUINESS,19.0
PHILADELPHIA WIFE,23,SANDRA,PECK,19.0
SALUTE APOLLO,23,CAMERON,WRAY,19.0
SCORPION APOLLO,23,RUSSELL,CLOSE,19.0
SNOWMAN ROLLERCOASTER,23,SISSY,SOBIESKI,18.0
STEEL SANTA,23,ADAM,GRANT,18.0
STRICTLY SCARFACE,23,JULIA,ZELLWEGER,16.0
TITANIC BOONDOCK,23,JUDY,DEAN,15.0
TROUBLE DATE,23,JULIA,FAWCETT,15.0
TRUMAN CRAZY,23,EMILY,DEE,14.0
WASH HEAVENLY,23,,,
WIND PHANTOM,23,,,
WOMEN DORADO,23,,,
YENTL IDAHO,23,,,
ALIEN CENTER,22,,,
ALTER VICTORY,22,,,
AMERICAN CIRCUS,22,,,
ANGELS LIFE,22,,,
ANNIE IDENTITY,22,,,
BANGER PINOCCHIO,22,,,
BEAR GRACELAND,22,,,
BEAUTY GREASE,22,,,
BLADE POLISH,22,,,
BORROWERS BEDAZZLED,22,,,
CHICKEN HELLFIGHTERS,22,,,
CHILL LUCK,22,,,
CONGENIALITY QUEST,22,,,
DREAM PICKUP,22,,,
EAGLES PANKY,22,,,
FALCON VOLUME,22,,,
FIGHT JAWBREAKER,22,,,
FLATLINERS KILLER,22,,,
GRAPES FURY,22,,,
HAUNTING PIANIST,22,,,
HEAD STRANGER,22,,,
HIGH ENCINO,22,,,
HOMICIDE PEACH,22,,,
HUSTLER PARTY,22,,,
KISS GLORY,22,,,
LIAISONS SWEET,22,,,
MALTESE HOPE,22,,,
MIDSUMMER GROUNDHOG,22,,,
PACKER MADIGAN,22,,,
QUEEN LUKE,22,,,
SEA VIRGIN,22,,,
SHAKESPEARE SADDLE,22,,,
SINNERS ATLANTIS,22,,,
SNATCH SLIPPER,22,,,
SOUTH WAIT,22,,,
TOURIST PELICAN,22,,,
VOLCANO TEXAS,22,,,
WHISPERER GIANT,22,,,
WONDERLAND CHRISTMAS,22,,,
AGENT TRUMAN,21,,,
AMADEUS HOLY,21,,,
AMISTAD MIDSUMMER,21,,,
ANACONDA CONFESSIONS,21,,,
ARIZONA BANG,21,,,
ARMAGEDDON LOST,21,,,
BADMAN DAWN,21,,,
BASIC EASY,21,,,
BERETS AGENT,21,,,
BEVERLY OUTLAW,21,,,
BLUES INSTINCT,21,,,
BROOKLYN DESERT,21,,,
CALENDAR GUNFIGHT,21,,,
CAUSE DATE,21,,,
CHAINSAW UPTOWN,21,,,
CHARIOTS CONSPIRACY,21,,,
CHRISTMAS MOONSHINE,21,,,
COAST RAINBOW,21,,,
CROSSROADS CASUALTIES,21,,,
DECEIVER BETRAYED,21,,,
DIVIDE MONSTER,21,,,
DOOM DANCING,21,,,
DRACULA CRYSTAL,21,,,
DRIVING POLISH,21,,,
EGG IGBY,21,,,
EMPIRE MALKOVICH,21,,,
EXCITEMENT EVE,21,,,
FIDELITY DEVIL,21,,,
FIREBALL PHILADELPHIA,21,,,
GHOST GROUNDHOG,21,,,
GREASE YOUTH,21,,,
HIGHBALL POTTER,21,,,
LEBOWSKI SOLDIERS,21,,,
MOONSHINE CABIN,21,,,
MOURNING PURPLE,21,,,
OPEN AFRICAN,21,,,
PIANIST OUTFIELD,21,,,
PIRATES ROXANNE,21,,,
RESURRECTION SILVERADO,21,,,
SABRINA MIDNIGHT,21,,,
SECRET GROUNDHOG,21,,,
SLEEPY JAPANESE,21,,,
SLEUTH ORIENT,21,,,
SPLENDOR PATTON,21,,,
STAR OPERATION,21,,,
STING PERSONAL,21,,,
SUIT WALLS,21,,,
UNBREAKABLE KARATE,21,,,
UNDEFEATED DALMATIONS,21,,,
VACATION BOONDOCK,21,,,
WAIT CIDER,21,,,
WOLVES DESIRE,21,,,
BRINGING HYSTERICAL,20,,,
CHASING FIGHT,20,,,
CHEAPER CLYDE,20,,,
CHOCOLAT HARRY,20,,,
DALMATIONS SWEDEN,20,,,
DINOSAUR SECRETARY,20,,,
FLYING HOOK,20,,,
GARDEN ISLAND,20,,,
GO PURPLE,20,,,
HARPER DYING,20,,,
HEARTBREAKERS BRIGHT,20,,,
HELLFIGHTERS SIERRA,20,,,
HUNCHBACK IMPOSSIBLE,20,,,
INSIDER ARIZONA,20,,,
INTERVIEW LIAISONS,20,,,
INTRIGUE WORST,20,,,
JERK PAYCHECK,20,,,
JET NEIGHBORS,20,,,
KICK SAVANNAH,20,,,
KISSING DOLLS,20,,,
LOVE SUICIDES,20,,,
MASKED BUBBLE,20,,,
MILLION ACE,20,,,
MINDS TRUMAN,20,,,
MONEY HAROLD,20,,,
NORTHWEST POLISH,20,,,
OUTFIELD MASSACRE,20,,,
PEAK FOREVER,20,,,
PINOCCHIO SIMON,20,,,
PREJUDICE OLEANDER,20,,,
QUEST MUSSOLINI,20,,,
REDEMPTION COMFORTS,20,,,
REIGN GENTLEMEN,20,,,
REUNION WITCHES,20,,,
RIVER OUTLAW,20,,,
ROOM ROMAN,20,,,
SECRETS PARADISE,20,,,
SLEEPLESS MONSOON,20,,,
SPICE SORORITY,20,,,
STEPMOM DREAM,20,,,
STRAIGHT HOURS,20,,,
TRAMP OTHERS,20,,,
WRONG BEHAVIOR,20,,,
BACKLASH UNDEFEATED,19,,,
BILL OTHERS,19,,,
BRIDE INTRIGUE,19,,,
CAMPUS REMEMBER,19,,,
CANYON STOCK,19,,,
CIDER DESIRE,19,,,
CLONES PINOCCHIO,19,,,
CLUB GRAFFITI,19,,,
DESERT POSEIDON,19,,,
DETAILS PACKER,19,,,
DISCIPLE MOTHER,19,,,
DOORS PRESIDENT,19,,,
EARRING INSTINCT,19,,,
ENCINO ELF,19,,,
ENCOUNTERS CURTAIN,19,,,
EYES DRIVING,19,,,
FANTASIA PARK,19,,,
FICTION CHRISTMAS,19,,,
FURY MURDER,19,,,
GABLES METROPOLIS,19,,,
GORGEOUS BINGO,19,,,
HANGING DEEP,19,,,
HONEY TIES,19,,,
HOURS RAGE,19,,,
IGBY MAKER,19,,,
INDEPENDENCE HOTEL,19,,,
JEDI BENEATH,19,,,
MARS ROMAN,19,,,
MINE TITANS,19,,,
MUSIC BOONDOCK,19,,,
NATIONAL STORY,19,,,
NEIGHBORS CHARADE,19,,,
NOVOCAINE FLIGHT,19,,,
PATIENT SISTER,19,,,
POND SEATTLE,19,,,
RAGE GAMES,19,,,
REQUIEM TYCOON,19,,,
ROAD ROXANNE,19,,,
ROXANNE REBEL,19,,,
SHAWSHANK BUBBLE,19,,,
SOMETHING DUCK,19,,,
SUNDANCE INVASION,19,,,
THIEF PELICAN,19,,,
TROJAN TOMORROW,19,,,
VOICE PEACH,19,,,
AIRPORT POLLOCK,18,,,
ALONE TRIP,18,,,
BAREFOOT MANCHURIAN,18,,,
BIRDS PERDITION,18,,,
BOULEVARD MOB,18,,,
CANDIDATE PERDITION,18,,,
CAROL TEXAS,18,,,
CLEOPATRA DEVIL,18,,,
CORE SUIT,18,,,
DARN FORRESTER,18,,,
DAWN POND,18,,,
DRAGONFLY STRANGERS,18,,,
DRIVER ANNIE,18,,,
ENOUGH RAGING,18,,,
EXPECATIONS NATURAL,18,,,
FORREST SONS,18,,,
GALAXY SWEETHEARTS,18,,,
GROOVE FICTION,18,,,
